,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0,4489.743589,4466.666666,4622.051282,4307.692307,4473.333333,4246.153846,4505.128205,4262.564102,4320.000000,4566.666666,4343.589743,4654.358974,4117.948717,4014.358974
1,4491.282051,4466.666666,4620.000000,4309.230769,4460.000000,4244.102564,4504.102564,4262.051282,4315.897435,4567.692307,4343.589743,4655.897435,4115.897435,4011.282051
2,4489.230769,4464.615384,4627.692307,4314.358974,4456.923076,4250.256410,4502.564102,4265.641025,4311.794871,4571.282051,4355.384615,4661.538461,4127.692307,4009.230769
3,4488.717948,4466.666666,4632.820512,4310.256410,4474.871794,4257.948717,4505.641025,4272.307692,4317.948717,4571.282051,4363.076923,4666.153846,4134.358974,4016.410256
4,4489.743589,4464.615384,4630.769230,4305.641025,4478.974358,4257.435897,4509.230769,4274.358974,4327.179487,4570.769230,4358.461538,4665.641025,4124.102564,4016.923076
5,4491.282051,4467.692307,4629.230769,4309.743589,4484.102564,4258.461538,4517.435897,4275.897435,4326.153846,4573.333333,4351.282051,4666.153846,4116.923076,4013.846153
6,4488.205128,4472.307692,4629.230769,4311.794871,4492.820512,4263.076923,4520.512820,4277.435897,4325.128205,4581.538461,4350.769230,4665.641025,4123.076923,4012.307692
7,4476.923076,4463.076923,4621.538461,4304.615384,4462.051282,4255.897435,4509.743589,4269.743589,4325.641025,4583.589743,4348.717948,4654.871794,4116.410256,3997.948718
8,4470.256410,4458.461538,4615.384615,4301.538461,4435.897435,4244.102564,4504.102564,4261.025641,4318.974358,4570.769230,4341.025641,4645.128205,4103.076923,3989.743590
9,4475.897435,4469.230769,4616.923076,4305.128205,4459.487179,4247.179487,4507.179487,4261.025641,4310.769230,4554.871794,4343.589743,4650.256410,4106.666666,4002.051282
10,4483.589743,4475.897435,4625.128205,4307.692307,4485.128205,4256.923076,4506.666666,4262.564102,4317.948717,4558.461538,4354.871794,4661.538461,4114.871794,4013.333333
11,4488.717948,4477.948717,4636.923076,4313.846153,4491.794871,4260.000000,4507.692307,4266.153846,4331.282051,4572.820512,4359.487179,4670.769230,4119.487179,4022.564102
12,4494.871794,4483.589743,4647.692307,4325.641025,4496.923076,4264.102564,4512.307692,4276.923076,4334.358974,4581.025641,4362.051282,4678.974358,4121.025641,4028.717948
13,4499.487179,4484.102564,4647.692307,4331.282051,4486.153846,4264.615384,4511.794871,4280.000000,4331.282051,4581.025641,4363.076923,4678.974358,4120.512820,4022.564102
14,4495.384615,4478.974358,4642.564102,4325.128205,4469.743589,4256.410256,4508.717948,4272.820512,4329.743589,4578.461538,4358.974358,4671.282051,4124.102564,4019.487179
15,4494.871794,4478.461538,4637.948717,4319.487179,4469.230769,4252.307692,4506.666666,4269.743589,4328.717948,4577.948717,4358.974358,4669.230769,4124.615384,4022.051282
16,4500.000000,4479.487179,4636.410256,4323.589743,4472.820512,4254.871794,4504.615384,4269.230769,4327.179487,4572.307692,4362.051282,4672.820512,4123.076923,4017.948717
17,4498.974358,4483.076923,4640.512820,4330.769230,4484.615384,4260.000000,4506.153846,4269.743589,4329.743589,4573.846153,4366.153846,4676.410256,4127.179487,4023.076923
18,4489.743589,4482.564102,4640.512820,4325.641025,4488.717948,4259.487179,4507.692307,4268.205128,4330.256410,4579.487179,4361.025641,4674.358974,4121.025641,4020.000000
19,4488.717948,4480.512820,4633.333333,4320.512820,4472.307692,4252.820512,4505.128205,4265.641025,4327.179487,4576.410256,4351.794871,4669.230769,4111.282051,4006.153846
20,4500.512820,4483.076923,4634.358974,4328.205128,4470.256410,4254.358974,4506.666666,4273.333333,4330.769230,4574.358974,4355.384615,4669.743589,4120.512820,4014.871794
21,4503.589743,4488.717948,4638.974358,4326.666666,4489.743589,4261.538461,4509.230769,4283.076923,4338.461538,4583.589743,4365.641025,4672.820512,4126.666666,4028.205128
22,4496.410256,4490.769230,4635.897435,4316.410256,4495.384615,4262.051282,4506.666666,4283.076923,4340.512820,4592.820512,4370.256410,4670.769230,4118.974358,4024.102564
23,4489.230769,4481.538461,4633.333333,4320.512820,4486.666666,4256.923076,4504.102564,4277.948717,4337.948717,4585.128205,4369.230769,4668.205128,4116.923076,4018.974358
24,4487.179487,4474.358974,4633.333333,4324.615384,4481.025641,4254.358974,4504.102564,4273.333333,4338.461538,4582.564102,4371.282051,4672.820512,4120.512820,4022.564102
25,4489.230769,4475.897435,4630.769230,4317.435897,4479.487179,4255.384615,4502.564102,4269.230769,4341.025641,4592.820512,4374.871794,4678.461538,4130.769230,4023.589743
26,4491.282051,4473.846153,4631.282051,4313.846153,4475.897435,4258.461538,4503.076923,4266.153846,4337.435897,4590.256410,4371.282051,4674.871794,4135.897435,4021.025641
27,4491.794871,4468.717948,4630.769230,4310.769230,4464.615384,4254.358974,4505.641025,4265.128205,4330.256410,4576.410256,4366.666666,4667.179487,4121.538461,4015.384615
28,4489.230769,4468.717948,4628.717948,4308.205128,4464.102564,4246.153846,4505.128205,4266.666666,4330.256410,4572.307692,4363.589743,4665.641025,4116.923076,4013.333333
29,4487.692307,4474.871794,4634.358974,4320.000000,4476.410256,4250.256410,4505.641025,4270.769230,4336.923076,4578.461538,4361.025641,4668.717948,4129.743589,4020.000000
30,4490.769230,4478.974358,4639.487179,4324.615384,4468.717948,4251.794871,4507.179487,4265.641025,4336.410256,4578.974358,4360.512820,4669.230769,4128.205128,4023.076923
31,4495.384615,4478.974358,4633.333333,4307.179487,4458.461538,4248.205128,4504.615384,4259.487179,4330.769230,4578.974358,4370.256410,4668.205128,4121.025641,4018.461538
32,4501.538461,4478.974358,4633.333333,4304.102564,4483.076923,4259.487179,4506.666666,4268.717948,4337.435897,4590.256410,4382.051282,4671.794871,4127.692307,4015.897435
33,4506.666666,4487.692307,4643.076923,4327.179487,4507.179487,4269.743589,4514.871794,4284.102564,4349.743589,4608.205128,4387.692307,4677.435897,4136.923076,4027.692307
34,4496.923076,4491.282051,4640.512820,4333.333333,4495.897435,4265.641025,4514.358974,4281.025641,4344.615384,4609.743589,4380.000000,4674.358974,4132.307692,4032.307692
35,4476.923076,4479.487179,4629.230769,4317.948717,4486.666666,4263.076923,4506.666666,4265.128205,4329.230769,4589.230769,4357.435897,4662.051282,4117.948717,4016.923076
36,4480.000000,4478.974358,4630.256410,4315.384615,4496.410256,4265.128205,4507.179487,4264.102564,4329.743589,4576.923076,4347.179487,4658.974358,4112.307692,4007.692307
37,4492.307692,4488.205128,4632.307692,4319.487179,4496.410256,4258.974358,4509.743589,4273.333333,4334.871794,4584.102564,4355.384615,4665.128205,4118.461538,4010.769230
38,4486.666666,4488.717948,4625.641025,4313.846153,4481.538461,4254.871794,4508.717948,4270.769230,4329.743589,4588.205128,4359.487179,4664.615384,4121.025641,4012.820512
39,4473.333333,4478.461538,4620.512820,4303.589743,4467.692307,4252.820512,4503.589743,4263.589743,4321.025641,4581.025641,4352.307692,4657.435897,4114.358974,4010.256410
