,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0,4429.743589,4545.641025,4538.461538,4253.333333,4501.538461,4194.358974,4442.564102,4158.461538,4237.948717,4498.974358,4233.846153,4670.256410,4021.025641,4011.282051
1,4415.384615,4534.871794,4535.897435,4237.948717,4502.564102,4189.743589,4440.512820,4153.333333,4229.743589,4491.794871,4222.051282,4665.641025,4014.871794,4001.025641
2,4412.307692,4536.410256,4535.384615,4229.230769,4502.051282,4192.307692,4441.538461,4150.769230,4225.128205,4488.205128,4218.461538,4662.564102,4011.282051,3993.333334
3,4420.000000,4540.000000,4537.948717,4244.102564,4501.538461,4197.435897,4446.153846,4162.051282,4235.384615,4495.384615,4224.102564,4664.102564,4014.358974,3998.461539
4,4416.410256,4538.461538,4538.461538,4252.820512,4506.153846,4199.487179,4445.641025,4165.128205,4240.512820,4498.974358,4227.692307,4663.076923,4016.923076,4002.051282
5,4413.333333,4540.000000,4537.948717,4247.692307,4511.282051,4202.051282,4443.076923,4160.512820,4239.487179,4498.974358,4229.230769,4664.615384,4012.820512,4000.000000
6,4415.897435,4540.000000,4540.000000,4247.179487,4508.717948,4202.051282,4444.615384,4163.076923,4234.871794,4496.923076,4230.769230,4668.717948,4011.794871,4002.051282
7,4414.871794,4538.461538,4537.948717,4248.205128,4503.589743,4196.410256,4444.102564,4158.974358,4222.564102,4489.743589,4228.717948,4666.153846,4014.358974,4004.615384
8,4413.846153,4540.512820,4533.846153,4246.153846,4502.051282,4193.333333,4438.461538,4152.820512,4219.487179,4488.205128,4224.615384,4660.512820,4010.769230,4003.076923
9,4413.333333,4538.461538,4534.358974,4246.153846,4504.615384,4195.384615,4437.435897,4160.512820,4231.794871,4498.974358,4223.589743,4659.487179,4007.692307,4002.564102
10,4411.282051,4538.461538,4536.410256,4247.179487,4507.692307,4201.025641,4444.615384,4169.743589,4237.948717,4509.743589,4229.230769,4663.076923,4014.871794,4006.153846
11,4415.384615,4546.666666,4536.923076,4252.820512,4505.641025,4206.666666,4449.743589,4172.307692,4239.487179,4515.384615,4238.974358,4666.666666,4024.615384,4012.820512
12,4425.641025,4553.333333,4538.461538,4253.846153,4506.666666,4206.153846,4447.179487,4173.846153,4247.692307,4515.384615,4243.589743,4671.794871,4026.153846,4016.410256
13,4425.641025,4555.384615,4540.000000,4255.384615,4510.256410,4204.615384,4446.666666,4176.410256,4251.794871,4511.282051,4243.076923,4678.461538,4028.717948,4023.076923
