,AF3,AF4,T7,T8,PZ
0,4321.025641,4342.564102,4325.128205,4310.256410,4264.615384
1,4305.128205,4338.974358,4318.974358,4302.564102,4253.333333
2,4304.615384,4335.897435,4315.897435,4326.666666,4257.948717
3,4294.358974,4322.051282,4302.051282,4319.487179,4254.871794
4,4296.410256,4328.205128,4311.282051,4323.589743,4260.512820
5,4293.846153,4320.000000,4318.461538,4335.897435,4270.769230
6,4284.615384,4311.794871,4308.717948,4329.230769,4268.205128
7,4303.076923,4338.461538,4320.512820,4338.974358,4270.256410
8,4306.153846,4334.871794,4305.128205,4324.102564,4259.487179
9,4312.307692,4338.974358,4300.000000,4311.794871,4269.230769
10,4314.871794,4347.179487,4318.974358,4335.897435,4280.512820
11,4300.000000,4320.512820,4317.435897,4344.102564,4263.076923
12,4304.615384,4321.538461,4306.666666,4328.205128,4258.974358
13,4297.948717,4334.871794,4296.410256,4310.256410,4257.948717
14,4296.410256,4334.358974,4317.948717,4322.051282,4263.076923
15,4296.923076,4321.538461,4324.102564,4323.076923,4263.076923
16,4285.641025,4311.794871,4303.076923,4307.692307,4253.846153
17,4302.564102,4334.871794,4320.000000,4329.743589,4271.794871
18,4305.641025,4334.871794,4324.102564,4335.897435,4275.897435
19,4296.923076,4317.948717,4322.051282,4312.820512,4267.179487
20,4288.205128,4315.384615,4321.538461,4297.435897,4264.102564
21,4278.461538,4315.384615,4294.358974,4293.333333,4258.974358
22,4302.564102,4339.487179,4296.410256,4316.410256,4276.923076
23,4306.666666,4345.641025,4307.179487,4322.051282,4278.461538
24,4294.871794,4342.564102,4314.871794,4318.461538,4268.717948
25,4303.589743,4351.282051,4321.025641,4324.102564,4271.282051
26,4300.512820,4340.000000,4302.051282,4311.794871,4262.051282
27,4301.025641,4335.897435,4312.307692,4320.512820,4264.615384
28,4293.333333,4324.615384,4315.384615,4312.820512,4264.102564
29,4288.205128,4323.076923,4291.282051,4283.076923,4260.512820
30,4295.897435,4338.974358,4290.256410,4286.153846,4265.128205
31,4285.641025,4323.589743,4305.641025,4294.871794,4256.923076
32,4296.923076,4325.641025,4332.820512,4311.282051,4267.692307
33,4304.615384,4339.487179,4322.564102,4321.538461,4273.333333
34,4295.897435,4346.153846,4302.051282,4320.000000,4264.615384
35,4302.564102,4355.897435,4314.871794,4310.769230,4276.410256
36,4300.000000,4345.641025,4313.846153,4294.871794,4281.025641
37,4325.128205,4370.769230,4333.333333,4340.000000,4303.589743
38,4350.769230,4405.128205,4353.846153,4382.051282,4325.641025
39,4347.692307,4402.564102,4348.717948,4366.666666,4325.641025
40,4356.410256,4402.564102,4354.871794,4363.589743,4336.410256
41,4349.230769,4385.641025,4344.615384,4345.641025,4330.256410
42,4349.230769,4380.512820,4357.435897,4329.230769,4329.230769
43,4353.846153,4389.743589,4383.589743,4349.743589,4337.948717
44,4338.974358,4382.051282,4361.025641,4357.948717,4324.615384
45,4334.871794,4377.435897,4342.051282,4348.205128,4314.358974
46,4324.615384,4365.641025,4350.256410,4336.410256,4307.179487
47,4337.435897,4374.871794,4377.435897,4349.230769,4320.000000
48,4354.871794,4391.282051,4375.384615,4357.948717,4329.230769
49,4345.128205,4384.615384,4353.333333,4347.692307,4316.410256
50,4348.717948,4385.128205,4370.256410,4360.000000,4325.128205
51,4335.897435,4366.666666,4363.076923,4352.307692,4317.948717
52,4329.230769,4358.974358,4355.384615,4338.461538,4308.205128
53,4338.461538,4372.820512,4363.589743,4341.025641,4317.435897
54,4323.076923,4363.076923,4344.615384,4337.435897,4316.923076
55,4319.487179,4361.538461,4341.025641,4353.846153,4324.615384
56,4315.384615,4353.333333,4332.307692,4346.153846,4317.435897
57,4312.307692,4339.487179,4325.128205,4329.230769,4306.666666
58,4313.846153,4341.025641,4339.487179,4337.948717,4312.820512
59,4290.769230,4329.743589,4332.307692,4326.666666,4305.641025
60,4288.205128,4325.128205,4322.051282,4322.564102,4305.128205
61,4289.743589,4317.435897,4316.410256,4328.205128,4300.000000
62,4292.307692,4328.205128,4329.743589,4334.358974,4296.923076
