,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0,4562.564102,4659.487179,4637.435897,4331.282051,4460.512820,4194.871794,4415.897435,4169.743589,4211.282051,4466.666666,4277.948717,4616.410256,3998.461539,4055.384615
1,4557.435897,4648.205128,4635.384615,4331.282051,4504.615384,4206.153846,4425.641025,4179.487179,4222.564102,4481.538461,4283.076923,4613.846153,3993.333334,4054.358974
2,4544.615384,4638.974358,4635.897435,4336.410256,4488.717948,4212.820512,4429.743589,4186.153846,4236.923076,4493.846153,4274.358974,4609.230769,3981.538462,4040.512820
3,4512.820512,4605.641025,4618.461538,4318.974358,4450.769230,4203.076923,4425.128205,4182.051282,4230.769230,4490.769230,4258.461538,4595.384615,3961.538462,4010.256410
4,4497.948717,4581.025641,4603.589743,4304.102564,4463.589743,4197.948717,4427.179487,4182.051282,4231.282051,4489.230769,4264.102564,4588.205128,3954.871795,4002.564102
5,4499.487179,4582.564102,4608.717948,4305.128205,4480.512820,4202.051282,4430.256410,4188.717948,4246.153846,4503.076923,4273.846153,4590.769230,3958.974359,4010.256410
6,4493.846153,4575.897435,4616.410256,4306.666666,4480.000000,4211.282051,4436.410256,4198.974358,4252.307692,4512.307692,4272.820512,4595.897435,3960.000000,4007.179487
7,4485.128205,4562.051282,4608.717948,4303.076923,4486.666666,4215.897435,4441.538461,4201.025641,4249.230769,4502.051282,4270.256410,4594.358974,3951.282052,3995.897436
8,4475.897435,4563.076923,4597.948717,4297.948717,4484.102564,4211.282051,4438.974358,4191.794871,4247.692307,4490.769230,4265.641025,4584.615384,3942.564103,3984.102565
9,4469.743589,4565.128205,4596.923076,4296.923076,4472.820512,4209.230769,4438.974358,4188.717948,4248.717948,4493.333333,4263.076923,4579.487179,3943.589744,3975.897436
10,4480.512820,4566.666666,4603.589743,4305.641025,4478.461538,4212.820512,4441.538461,4194.358974,4248.205128,4503.589743,4270.769230,4589.230769,3953.846154,3984.102565
11,4503.076923,4586.666666,4618.461538,4318.461538,4497.435897,4214.871794,4438.974358,4197.948717,4251.282051,4516.410256,4287.692307,4607.179487,3975.897436,4006.153846
12,4521.538461,4614.358974,4629.743589,4328.205128,4493.846153,4213.846153,4434.358974,4200.000000,4253.333333,4520.000000,4297.948717,4614.871794,3996.923077,4025.641025
13,4527.179487,4624.102564,4627.179487,4329.230769,4464.615384,4206.153846,4430.256410,4193.846153,4240.512820,4498.974358,4292.307692,4610.256410,4007.179487,4033.846153
14,4546.666666,4636.923076,4633.846153,4328.717948,4458.974358,4199.487179,4428.717948,4184.102564,4234.358974,4486.153846,4300.000000,4622.564102,4038.974358,4059.487179
15,4596.923076,4671.794871,4661.025641,4342.564102,4477.435897,4203.076923,4430.769230,4185.128205,4247.692307,4504.615384,4333.333333,4657.948717,4096.923076,4114.358974
16,4646.666666,4697.948717,4682.564102,4362.051282,4468.205128,4202.564102,4429.230769,4188.717948,4251.282051,4523.076923,4364.102564,4682.564102,4143.589743,4165.128205
17,4668.717948,4702.564102,4692.307692,4367.692307,4456.923076,4194.358974,4423.589743,4183.589743,4240.000000,4522.564102,4383.076923,4694.358974,4178.974358,4196.923076
18,4679.487179,4710.256410,4701.025641,4366.666666,4475.897435,4196.923076,4424.615384,4185.641025,4243.589743,4524.615384,4398.974358,4712.820512,4221.025641,4225.128205
19,4681.538461,4707.179487,4697.948717,4361.025641,4473.846153,4202.051282,4423.076923,4192.307692,4254.358974,4531.282051,4402.051282,4715.384615,4234.871794,4233.846153
20,4660.000000,4680.512820,4682.051282,4354.358974,4454.871794,4194.871794,4419.487179,4186.153846,4248.717948,4525.641025,4391.794871,4693.846153,4215.897435,4205.128205
21,4630.256410,4655.384615,4671.282051,4350.769230,4461.538461,4193.333333,4425.128205,4187.692307,4242.564102,4521.538461,4379.487179,4679.487179,4197.948717,4170.769230
22,4598.974358,4627.692307,4660.512820,4336.923076,4462.564102,4196.923076,4429.743589,4197.435897,4252.307692,4530.769230,4363.589743,4669.743589,4168.205128,4141.538461
23,4575.897435,4600.000000,4645.128205,4319.487179,4460.000000,4197.948717,4434.358974,4204.102564,4263.589743,4542.051282,4352.820512,4657.435897,4133.846153,4110.256410
24,4562.564102,4587.179487,4636.923076,4313.333333,4476.923076,4208.717948,4445.128205,4211.282051,4268.717948,4541.025641,4345.641025,4650.769230,4119.487179,4089.743589
25,4534.871794,4564.615384,4629.230769,4301.025641,4475.384615,4214.358974,4448.717948,4210.769230,4264.615384,4537.435897,4326.666666,4636.923076,4092.820512,4071.282051
26,4504.102564,4535.897435,4615.384615,4283.589743,4461.025641,4204.102564,4442.564102,4199.487179,4252.307692,4541.025641,4305.641025,4615.897435,4050.256410,4041.538461
27,4488.205128,4530.256410,4603.076923,4283.589743,4468.717948,4205.128205,4443.076923,4202.051282,4253.846153,4538.461538,4301.538461,4607.692307,4027.692307,4011.794871
28,4477.435897,4525.641025,4600.512820,4287.179487,4472.307692,4213.846153,4447.179487,4216.923076,4269.230769,4524.615384,4303.589743,4604.102564,4014.358974,3990.769231
29,4462.564102,4510.256410,4597.948717,4281.538461,4456.923076,4209.230769,4443.589743,4215.897435,4269.743589,4519.487179,4287.692307,4592.820512,3989.743590,3975.897436
30,4450.256410,4510.769230,4589.743589,4277.435897,4461.538461,4202.564102,4440.000000,4208.205128,4257.435897,4529.743589,4272.820512,4585.128205,3980.000000,3968.205129
31,4444.102564,4510.256410,4583.589743,4270.769230,4475.897435,4205.641025,4442.051282,4206.153846,4259.487179,4532.307692,4282.051282,4585.128205,3977.948718,3965.128206
32,4443.589743,4495.897435,4586.153846,4267.692307,4474.358974,4207.692307,4442.051282,4203.076923,4267.179487,4521.025641,4287.179487,4583.589743,3964.615385,3956.923077
33,4441.025641,4486.153846,4585.641025,4270.769230,4472.820512,4205.128205,4434.871794,4199.487179,4257.948717,4520.000000,4271.282051,4575.384615,3952.307693,3942.564103
34,4428.717948,4484.615384,4581.025641,4266.153846,4472.820512,4204.102564,4436.923076,4199.487179,4250.256410,4524.615384,4257.948717,4568.205128,3938.974359,3933.846154
35,4426.666666,4488.205128,4587.179487,4269.230769,4475.384615,4213.846153,4456.410256,4210.256410,4264.615384,4522.051282,4263.076923,4573.333333,3933.333334,3936.923077
36,4434.358974,4492.307692,4594.358974,4278.974358,4480.512820,4222.564102,4461.538461,4221.538461,4278.974358,4522.051282,4265.641025,4580.000000,3940.512821,3936.923077
37,4422.564102,4480.512820,4579.487179,4265.641025,4457.435897,4206.666666,4437.435897,4209.743589,4263.589743,4523.589743,4257.435897,4565.641025,3932.307693,3922.051283
38,4405.128205,4467.179487,4562.051282,4252.307692,4436.923076,4190.769230,4421.538461,4192.820512,4240.000000,4520.512820,4255.897435,4550.256410,3917.435898,3910.769231
39,4411.282051,4476.923076,4570.769230,4265.128205,4473.333333,4204.102564,4440.000000,4205.641025,4250.769230,4525.641025,4264.615384,4560.512820,3926.666667,3913.846154
40,4414.871794,4481.025641,4582.051282,4271.794871,4501.025641,4220.000000,4456.923076,4221.538461,4274.871794,4531.794871,4267.179487,4567.692307,3930.769231,3914.358975
41,4397.948717,4465.128205,4570.256410,4257.948717,4477.948717,4213.846153,4447.179487,4209.743589,4269.743589,4529.743589,4255.897435,4553.333333,3911.282052,3907.179488
42,4401.025641,4463.589743,4563.589743,4255.897435,4478.461538,4208.717948,4440.000000,4197.948717,4256.923076,4531.282051,4246.666666,4550.769230,3908.717949,3908.205129
43,4413.333333,4473.846153,4572.307692,4264.615384,4489.743589,4210.769230,4440.000000,4201.025641,4257.435897,4528.717948,4251.794871,4560.000000,3922.051283,3911.794872
44,4396.923076,4463.589743,4567.179487,4254.871794,4458.974358,4201.538461,4431.282051,4200.000000,4252.820512,4513.333333,4253.333333,4553.333333,3917.435898,3898.974359
45,4386.666666,4452.820512,4556.923076,4244.615384,4453.333333,4198.461538,4431.282051,4204.102564,4251.794871,4514.871794,4249.743589,4547.179487,3904.615385,3893.846154
46,4403.589743,4463.589743,4567.179487,4259.487179,4492.820512,4214.358974,4450.256410,4220.000000,4267.692307,4537.435897,4258.461538,4557.948717,3910.256411,3911.794872
47,4407.179487,4470.769230,4575.384615,4269.743589,4501.538461,4222.564102,4458.461538,4224.102564,4272.820512,4547.692307,4267.692307,4562.051282,3917.435898,3917.435898
48,4390.256410,4458.461538,4563.076923,4255.384615,4467.692307,4213.333333,4443.076923,4211.794871,4257.435897,4530.256410,4249.743589,4550.769230,3904.102565,3898.974359
49,4383.076923,4447.179487,4549.743589,4245.128205,4441.025641,4199.487179,4428.205128,4198.974358,4245.641025,4502.051282,4230.769230,4540.000000,3891.282052,3884.615385
50,4389.743589,4449.230769,4557.435897,4251.794871,4451.794871,4194.871794,4430.256410,4198.974358,4247.692307,4494.871794,4241.538461,4544.615384,3896.410257,3887.179488
51,4399.487179,4458.461538,4570.256410,4258.974358,4483.076923,4208.205128,4441.025641,4211.282051,4258.974358,4516.923076,4262.051282,4558.461538,3907.692308,3894.871795
52,4404.102564,4468.717948,4573.846153,4264.615384,4496.923076,4221.025641,4454.358974,4228.717948,4277.435897,4539.487179,4268.717948,4565.641025,3913.333334,3905.641026
53,4400.512820,4471.794871,4573.333333,4266.153846,4485.128205,4218.461538,4457.435897,4232.307692,4281.538461,4542.051282,4265.641025,4563.589743,3915.384616,3909.743590
54,4388.717948,4460.512820,4566.666666,4257.948717,4472.307692,4215.897435,4447.179487,4213.846153,4263.589743,4532.307692,4253.846153,4555.897435,3905.641026,3891.794872
55,4382.564102,4450.769230,4555.384615,4250.769230,4469.230769,4216.923076,4441.025641,4200.000000,4252.820512,4522.564102,4240.000000,4543.589743,3890.769231,3872.307693
56,4392.820512,4456.410256,4556.923076,4253.333333,4480.000000,4213.846153,4444.615384,4207.692307,4257.435897,4518.461538,4240.512820,4544.102564,3891.794872,3882.564103
57,4405.128205,4466.153846,4570.769230,4261.538461,4496.410256,4215.897435,4446.666666,4216.923076,4258.974358,4522.564102,4255.384615,4560.000000,3906.153847,3903.076924
58,4402.051282,4463.589743,4568.205128,4261.025641,4480.512820,4218.461538,4443.589743,4212.307692,4256.410256,4533.846153,4256.923076,4564.615384,3909.743590,3899.487180
59,4388.205128,4451.794871,4553.333333,4252.307692,4445.641025,4207.179487,4440.512820,4206.666666,4256.410256,4530.769230,4246.666666,4553.846153,3899.487180,3885.128206
60,4383.076923,4445.641025,4550.769230,4244.102564,4449.230769,4203.076923,4437.948717,4200.512820,4247.692307,4508.205128,4247.179487,4545.128205,3890.256411,3880.512821
61,4391.794871,4452.307692,4553.846153,4241.538461,4476.923076,4213.333333,4440.512820,4199.487179,4245.128205,4505.128205,4250.256410,4548.205128,3892.820513,3882.564103
62,4398.974358,4463.589743,4560.000000,4252.820512,4484.102564,4221.538461,4451.282051,4211.794871,4261.538461,4529.230769,4252.820512,4562.564102,3902.564103,3888.205129
63,4400.000000,4467.179487,4571.794871,4267.692307,4487.179487,4224.615384,4458.974358,4220.000000,4273.846153,4542.564102,4264.102564,4575.384615,3910.256411,3894.358975
64,4401.538461,4464.615384,4573.846153,4264.615384,4491.794871,4224.615384,4453.846153,4218.461538,4271.794871,4540.000000,4270.256410,4572.820512,3914.871795,3897.435898
65,4398.974358,4462.051282,4561.025641,4255.384615,4485.128205,4217.435897,4445.641025,4217.435897,4268.205128,4539.487179,4265.641025,4566.666666,3914.358975,3898.974359
66,4388.205128,4457.948717,4555.897435,4257.948717,4478.461538,4212.820512,4444.615384,4217.435897,4266.666666,4538.974358,4264.102564,4562.564102,3909.743590,3892.820513
67,4379.487179,4450.256410,4552.820512,4254.871794,4467.692307,4216.410256,4445.128205,4207.692307,4261.538461,4534.358974,4253.846153,4553.846153,3903.076924,3880.512821
68,4376.410256,4442.564102,4537.948717,4241.025641,4450.256410,4213.333333,4438.974358,4198.461538,4253.846153,4521.538461,4230.769230,4544.615384,3891.794872,3872.820513
69,4374.358974,4444.102564,4537.435897,4243.076923,4468.717948,4212.307692,4440.000000,4206.666666,4257.948717,4515.384615,4226.666666,4547.692307,3888.205129,3869.230770
70,4375.897435,4449.230769,4549.743589,4253.846153,4504.615384,4224.615384,4453.846153,4220.000000,4271.282051,4530.256410,4242.051282,4559.487179,3895.897436,3865.641026
71,4374.358974,4444.615384,4547.179487,4245.641025,4497.435897,4228.205128,4458.974358,4217.948717,4277.435897,4539.487179,4245.128205,4563.076923,3894.871795,3869.743590
72,4371.282051,4440.000000,4543.076923,4236.923076,4477.435897,4219.487179,4451.794871,4214.358974,4278.974358,4537.435897,4244.102564,4561.025641,3891.794872,3876.923077
73,4376.410256,4448.717948,4553.846153,4248.717948,4486.666666,4222.564102,4451.794871,4223.589743,4286.153846,4548.205128,4255.384615,4565.641025,3906.153847,3877.435898
74,4387.179487,4462.051282,4556.923076,4258.461538,4500.000000,4233.333333,4459.487179,4225.641025,4287.179487,4552.820512,4267.692307,4569.743589,3912.820513,3879.487180
75,4390.769230,4460.000000,4551.282051,4256.410256,4489.230769,4228.205128,4454.871794,4221.538461,4282.051282,4546.153846,4266.666666,4566.153846,3903.076924,3882.051283
76,4385.128205,4453.846153,4552.307692,4256.410256,4470.256410,4215.897435,4444.102564,4227.179487,4282.051282,4544.102564,4260.512820,4565.641025,3904.615385,3878.461539
77,4386.153846,4460.512820,4555.897435,4260.000000,4479.487179,4222.051282,4448.717948,4232.820512,4288.717948,4544.615384,4263.589743,4572.307692,3916.923077,3878.461539
78,4394.358974,4462.051282,4555.384615,4257.435897,4507.692307,4234.358974,4457.948717,4231.282051,4293.846153,4549.230769,4273.846153,4574.871794,3921.538462,3888.205129
79,4395.897435,4456.410256,4554.871794,4253.333333,4512.307692,4235.384615,4461.025641,4229.743589,4293.333333,4550.769230,4278.461538,4575.384615,3921.538462,3890.769231
80,4394.358974,4458.974358,4557.435897,4256.410256,4496.410256,4233.846153,4458.461538,4226.666666,4288.205128,4546.666666,4281.025641,4578.461538,3927.179488,3884.615385
81,4387.692307,4456.410256,4555.384615,4255.384615,4483.589743,4228.205128,4451.282051,4217.435897,4277.948717,4546.153846,4274.871794,4575.384615,3924.102565,3880.000000
82,4376.923076,4442.564102,4546.666666,4246.666666,4471.794871,4218.461538,4440.512820,4211.794871,4267.179487,4537.948717,4256.410256,4564.102564,3905.128206,3870.769231
83,4380.512820,4442.051282,4545.641025,4242.564102,4471.282051,4216.923076,4438.974358,4216.410256,4270.256410,4524.615384,4251.282051,4561.025641,3898.974359,3866.666667
84,4393.333333,4448.717948,4552.307692,4246.666666,4476.923076,4218.974358,4444.615384,4216.410256,4274.358974,4532.307692,4260.000000,4569.230769,3913.333334,3874.871795
85,4389.230769,4445.641025,4550.256410,4246.666666,4472.307692,4213.846153,4440.512820,4208.205128,4265.641025,4538.461538,4257.435897,4567.692307,3915.384616,3877.435898
86,4384.615384,4451.794871,4551.282051,4253.333333,4487.692307,4220.000000,4444.615384,4211.282051,4266.666666,4529.230769,4254.358974,4568.717948,3911.282052,3874.871795
87,4395.384615,4459.487179,4560.000000,4265.128205,4509.743589,4233.846153,4457.948717,4222.051282,4280.000000,4534.871794,4269.230769,4583.076923,3923.076924,3880.512821
88,4398.461538,4454.358974,4558.974358,4256.923076,4500.000000,4234.358974,4455.897435,4221.025641,4278.974358,4543.589743,4278.974358,4585.641025,3931.794872,3883.589744
89,4394.358974,4451.282051,4553.846153,4247.692307,4487.692307,4229.743589,4446.666666,4218.974358,4274.358974,4538.974358,4272.307692,4577.435897,3925.128206,3879.487180
90,4389.743589,4447.692307,4548.717948,4245.641025,4484.615384,4222.564102,4443.589743,4215.897435,4273.333333,4535.384615,4265.641025,4574.871794,3915.897436,3876.923077
91,4380.000000,4440.000000,4543.076923,4240.512820,4471.282051,4211.794871,4441.025641,4208.717948,4262.564102,4535.897435,4264.102564,4573.333333,3909.230770,3874.871795
92,4378.974358,4443.076923,4553.333333,4243.076923,4472.820512,4212.307692,4442.051282,4211.794871,4261.538461,4539.487179,4262.051282,4574.358974,3909.743590,3873.333334
93,4386.153846,4450.256410,4564.102564,4250.256410,4485.641025,4220.512820,4446.666666,4215.897435,4270.256410,4540.000000,4258.461538,4580.512820,3916.923077,3874.871795
94,4388.205128,4442.564102,4556.410256,4242.051282,4474.358974,4216.410256,4443.589743,4206.666666,4262.564102,4532.820512,4260.512820,4581.538461,3920.512821,3876.410257
95,4386.666666,4440.000000,4554.871794,4237.948717,4465.128205,4210.256410,4438.974358,4205.128205,4259.487179,4535.384615,4263.589743,4582.051282,3922.051283,3878.974359
96,4391.794871,4454.358974,4570.256410,4253.333333,4485.641025,4218.974358,4442.564102,4215.384615,4271.794871,4550.769230,4269.230769,4588.205128,3934.358975,3888.205129
97,4396.923076,4462.564102,4572.307692,4256.410256,4500.000000,4228.717948,4448.717948,4216.410256,4273.333333,4557.435897,4278.974358,4594.358974,3945.128206,3891.794872
98,4398.974358,4461.025641,4566.153846,4250.769230,4494.871794,4225.128205,4449.230769,4211.794871,4264.102564,4546.666666,4274.358974,4592.307692,3934.871795,3887.692308
99,4402.564102,4461.025641,4571.282051,4255.897435,4492.307692,4218.974358,4447.179487,4214.871794,4262.564102,4537.435897,4263.589743,4591.794871,3923.589744,3887.179488
100,4403.589743,4465.128205,4575.384615,4256.410256,4496.410256,4219.487179,4445.128205,4217.948717,4266.666666,4537.435897,4266.666666,4597.435897,3930.769231,3887.692308
101,4398.974358,4471.282051,4569.230769,4252.820512,4492.820512,4219.487179,4444.102564,4215.384615,4266.153846,4542.051282,4270.769230,4595.897435,3929.743590,3879.487180
102,4394.358974,4468.205128,4563.589743,4250.256410,4478.974358,4215.384615,4442.564102,4205.641025,4262.564102,4534.871794,4264.102564,4586.666666,3922.564103,3875.384616
103,4395.384615,4463.076923,4567.179487,4251.794871,4472.820512,4214.871794,4442.051282,4201.538461,4261.025641,4521.025641,4261.025641,4587.692307,3933.846154,3882.051283
