,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0,4381.025641,4506.666666,4501.025641,4248.717948,4473.846153,4185.641025,4421.025641,4208.717948,4166.153846,4461.538461,4208.205128,4612.307692,3973.846154,4051.794871
1,4383.076923,4504.615384,4506.666666,4249.743589,4477.435897,4201.025641,4426.153846,4216.923076,4170.256410,4466.153846,4213.333333,4617.948717,3974.358975,4051.282051
2,4383.076923,4503.589743,4507.692307,4250.769230,4472.307692,4200.000000,4425.128205,4216.923076,4169.230769,4460.512820,4209.743589,4618.461538,3969.743590,4055.384615
3,4385.641025,4506.153846,4505.128205,4251.794871,4462.051282,4184.615384,4420.512820,4214.358974,4169.743589,4460.512820,4208.717948,4616.410256,3974.871795,4061.025641
4,4386.153846,4502.564102,4502.564102,4249.743589,4462.564102,4183.589743,4419.487179,4213.333333,4166.153846,4455.384615,4217.435897,4614.871794,3974.358975,4062.051282
5,4383.589743,4496.923076,4503.076923,4245.641025,4474.871794,4190.256410,4422.564102,4213.333333,4161.025641,4445.641025,4214.871794,4615.384615,3964.102565,4056.410256
6,4384.615384,4502.564102,4507.692307,4251.794871,4483.076923,4189.743589,4428.717948,4216.410256,4168.205128,4450.256410,4206.666666,4615.384615,3964.102565,4054.358974
7,4387.179487,4509.743589,4509.230769,4258.974358,4475.384615,4186.153846,4431.794871,4220.000000,4174.358974,4457.948717,4213.333333,4618.974358,3970.256411,4058.461538
8,4384.102564,4503.589743,4507.692307,4252.820512,4467.179487,4183.589743,4425.128205,4214.871794,4170.256410,4452.820512,4212.820512,4618.461538,3964.102565,4057.435897
9,4378.974358,4500.512820,4506.666666,4253.846153,4469.743589,4182.051282,4420.000000,4207.692307,4162.051282,4445.641025,4199.487179,4608.717948,3953.333334,4050.769230
10,4379.487179,4503.589743,4504.615384,4263.076923,4473.333333,4182.564102,4421.538461,4206.153846,4155.897435,4446.153846,4196.923076,4605.128205,3956.923077,4049.230769
11,4382.564102,4499.487179,4505.128205,4257.948717,4476.923076,4184.615384,4422.564102,4204.102564,4155.897435,4446.666666,4202.051282,4609.743589,3961.538462,4049.743589
12,4377.948717,4489.230769,4505.641025,4245.128205,4472.307692,4183.076923,4420.512820,4202.051282,4158.461538,4438.974358,4202.051282,4605.128205,3953.846154,4042.564102
13,4375.897435,4488.717948,4500.512820,4244.102564,4463.589743,4181.025641,4422.051282,4200.512820,4155.897435,4433.333333,4198.974358,4597.435897,3952.820513,4043.589743
14,4383.589743,4501.025641,4505.128205,4252.820512,4463.589743,4183.076923,4425.641025,4201.538461,4157.435897,4435.384615,4196.923076,4606.153846,3957.948718,4053.846153
15,4389.743589,4506.153846,4518.461538,4260.000000,4473.846153,4186.153846,4424.102564,4206.666666,4167.692307,4449.230769,4204.102564,4617.948717,3958.974359,4062.564102
16,4386.666666,4497.435897,4516.923076,4258.461538,4477.435897,4182.051282,4420.000000,4208.717948,4170.769230,4460.512820,4219.487179,4618.461538,3964.102565,4060.512820
17,4381.025641,4488.205128,4505.128205,4247.692307,4469.743589,4172.307692,4415.897435,4205.128205,4166.666666,4452.820512,4215.897435,4612.820512,3964.102565,4049.743589
18,4385.128205,4492.820512,4503.076923,4246.153846,4470.256410,4172.820512,4413.333333,4202.051282,4166.153846,4442.564102,4203.589743,4611.282051,3960.000000,4050.256410
19,4392.307692,4505.641025,4511.282051,4257.435897,4475.384615,4182.051282,4414.871794,4203.076923,4169.743589,4451.282051,4210.769230,4615.897435,3970.256411,4061.538461
20,4391.794871,4505.128205,4516.923076,4259.487179,4470.769230,4183.589743,4422.051282,4205.128205,4171.282051,4462.564102,4221.538461,4619.487179,3975.384616,4064.102564
21,4386.153846,4494.358974,4513.333333,4252.820512,4466.666666,4181.538461,4424.102564,4203.076923,4171.282051,4456.923076,4217.435897,4615.384615,3963.589744,4056.410256
22,4383.589743,4487.692307,4507.179487,4247.179487,4470.256410,4182.051282,4417.948717,4198.461538,4164.615384,4448.717948,4205.128205,4610.769230,3958.974359,4048.205128
23,4387.179487,4490.769230,4506.153846,4246.666666,4470.256410,4184.615384,4417.948717,4198.974358,4159.487179,4448.205128,4207.692307,4614.358974,3962.051283,4050.256410
24,4384.615384,4491.794871,4509.230769,4246.153846,4461.025641,4184.102564,4424.102564,4202.051282,4162.051282,4451.794871,4217.948717,4615.384615,3957.948718,4057.948717
25,4374.871794,4490.256410,4504.102564,4240.000000,4457.948717,4180.512820,4421.538461,4200.000000,4158.461538,4455.897435,4206.666666,4604.615384,3956.923077,4053.846153
26,4367.179487,4490.769230,4493.846153,4233.333333,4461.538461,4178.974358,4414.871794,4198.461538,4155.897435,4460.512820,4189.230769,4596.923076,3958.461539,4041.538461
27,4368.205128,4489.743589,4491.794871,4229.230769,4466.666666,4183.076923,4415.384615,4200.000000,4163.589743,4467.179487,4192.820512,4601.025641,3953.333334,4032.307692
28,4372.820512,4492.820512,4500.512820,4233.333333,4473.333333,4185.641025,4421.538461,4200.000000,4166.666666,4474.871794,4205.128205,4610.769230,3959.487180,4031.794871
29,4376.410256,4506.666666,4509.230769,4239.487179,4475.384615,4185.641025,4423.589743,4201.025641,4164.102564,4482.051282,4200.512820,4615.897435,3972.820513,4038.461538
30,4378.461538,4521.025641,4508.717948,4240.000000,4472.307692,4184.615384,4421.025641,4200.000000,4165.128205,4485.641025,4187.179487,4615.384615,3973.846154,4042.051282
31,4382.564102,4524.615384,4508.205128,4241.025641,4478.974358,4187.179487,4421.538461,4200.000000,4173.333333,4490.769230,4186.153846,4615.384615,3974.871795,4043.076923
