,AF3,AF4,T7,T8,PZ
0,4209.743589,4287.179487,4272.307692,4275.384615,4265.128205
1,4223.589743,4308.717948,4283.589743,4291.282051,4265.641025
2,4223.589743,4308.717948,4296.923076,4289.230769,4272.820512
3,4232.307692,4303.076923,4302.564102,4275.897435,4283.589743
4,4253.333333,4297.435897,4311.282051,4272.307692,4290.256410
5,4244.102564,4291.794871,4307.692307,4277.948717,4282.564102
6,4239.487179,4316.923076,4306.153846,4304.102564,4281.538461
7,4238.974358,4307.179487,4291.794871,4307.179487,4273.333333
8,4241.538461,4281.538461,4295.384615,4285.128205,4265.128205
9,4246.666666,4301.538461,4305.641025,4288.205128,4270.256410
10,4234.871794,4305.128205,4291.794871,4288.205128,4263.076923
11,4240.000000,4294.871794,4304.615384,4287.692307,4269.743589
12,4237.948717,4289.230769,4296.923076,4300.000000,4285.641025
13,4237.435897,4295.897435,4281.025641,4297.948717,4284.102564
14,4254.871794,4306.153846,4308.717948,4292.820512,4282.051282
15,4232.307692,4283.589743,4307.692307,4282.564102,4272.307692
16,4218.461538,4270.769230,4288.205128,4286.666666,4269.230769
17,4225.641025,4272.820512,4281.538461,4280.512820,4271.794871
18,4219.487179,4282.051282,4274.358974,4264.102564,4264.615384
19,4222.051282,4300.000000,4274.358974,4286.666666,4263.076923
20,4216.410256,4283.076923,4272.820512,4301.538461,4263.076923
21,4226.153846,4283.589743,4280.512820,4310.256410,4276.410256
22,4231.794871,4297.435897,4280.000000,4290.256410,4280.000000
23,4214.358974,4282.051282,4269.230769,4258.974358,4262.564102
24,4215.384615,4276.923076,4274.358974,4274.358974,4260.000000
25,4217.948717,4275.897435,4274.871794,4288.717948,4257.435897
26,4226.666666,4279.487179,4281.025641,4305.641025,4252.820512
27,4228.205128,4272.820512,4273.333333,4304.615384,4250.256410
28,4218.974358,4267.692307,4264.102564,4275.897435,4251.794871
29,4230.769230,4304.102564,4293.846153,4292.307692,4275.384615
30,4228.205128,4309.743589,4285.128205,4319.487179,4276.923076
31,4225.128205,4286.666666,4264.102564,4314.358974,4259.487179
32,4227.179487,4284.102564,4276.410256,4285.641025,4261.025641
33,4213.846153,4282.051282,4279.487179,4256.410256,4260.512820
34,4215.897435,4280.512820,4279.487179,4262.051282,4253.846153
35,4213.333333,4271.282051,4271.794871,4288.205128,4250.769230
36,4214.871794,4278.974358,4278.974358,4306.666666,4258.461538
37,4223.589743,4294.871794,4289.230769,4296.410256,4263.076923
38,4223.589743,4289.230769,4280.512820,4276.410256,4262.051282
39,4238.974358,4300.000000,4296.923076,4281.538461,4281.538461
40,4232.307692,4300.512820,4297.435897,4287.692307,4283.076923
41,4220.000000,4290.769230,4273.846153,4300.512820,4265.641025
42,4227.692307,4291.794871,4269.230769,4294.358974,4264.102564
43,4222.051282,4280.512820,4266.666666,4270.769230,4262.564102
44,4224.615384,4291.794871,4276.923076,4293.846153,4268.717948
45,4224.615384,4302.564102,4284.615384,4292.820512,4270.769230
46,4227.179487,4293.333333,4286.153846,4253.333333,4262.564102
47,4239.487179,4291.282051,4286.153846,4259.487179,4264.102564
48,4229.743589,4288.717948,4272.820512,4282.564102,4260.512820
49,4233.846153,4300.000000,4278.461538,4287.179487,4259.487179
50,4233.333333,4301.025641,4271.794871,4270.769230,4257.435897
51,4218.974358,4293.333333,4258.974358,4263.076923,4252.820512
52,4228.205128,4303.076923,4278.461538,4278.974358,4263.076923
53,4229.743589,4294.871794,4273.846153,4278.461538,4268.717948
54,4232.820512,4293.333333,4268.717948,4274.358974,4269.230769
55,4232.820512,4283.589743,4281.538461,4262.564102,4267.692307
56,4223.076923,4269.230769,4283.076923,4250.256410,4268.205128
57,4226.153846,4284.102564,4276.410256,4265.128205,4274.358974
58,4218.461538,4269.230769,4265.128205,4268.205128,4263.076923
59,4224.615384,4270.256410,4285.641025,4275.897435,4266.666666
60,4230.256410,4296.410256,4294.358974,4273.846153,4279.487179
61,4221.538461,4291.794871,4273.846153,4263.589743,4269.743589
